Designator,Mid X,Mid Y,Rotation,Layer
C1,58.612748,-45.5,180.0,top
C2,58.554628,-40.608433,0.0,top
C24,68.888577,-41.47464,90.0,top
C25,83.3,-48.4,270.0,top
C26,79.9,-50.2,0.0,top
C27,82.3,-48.4,90.0,top
C28,76.8,-39.6,270.0,top
C29,69.9,-41.6,270.0,top
C34,80.9,-44.8,180.0,top
C35,79.9,-52.2,180.0,top
C36,75.9,-52.2,90.0,top
C37,71.3,-49.72,90.0,top
C38,81.3,-48.4,90.0,top
C39,70.973687,-42.754517,270.0,top
C40,79.5,-40.0,270.0,top
C41,74.3,-39.6,270.0,top
C5,65.922787,-42.680962,55.0,top
C6,65.922787,-47.080962,145.0,top
D1,58.916289,-50.60021,0.0,top
J1,91.5,-45.83,90.0,top
J2,61.609445,-44.719682,180.0,top
J3,74.83,-35.56,270.0,top
J4,74.83,-55.88,90.0,top
L1,84.7,-48.872917,270.0,top
R1,59.8,-39.2,90.0,top
R23,79.9,-51.2,0.0,top
R29,62.909851,-51.460195,90.0,top
R49,69.322787,-46.8,235.0,top
R50,80.938112,-46.75,0.0,top
R51,80.938112,-45.76,180.0,top
R52,84.7,-44.2,180.0,top
R53,85.5,-51.4,180.0,top
R54,87.483534,-38.80865,0.0,top
RESET1,66.509851,-51.460195,0.0,top
U1,58.517882,-42.832987,270.0,top
U14,75.7,-45.65551,0.0,top
USBDEV1,82.904023,-40.483975,180.0,top
Y1,67.772787,-44.586472,55.0,top
